# bin_centers,CoVs,smoothed_CoVs,FAPs
2.683471122457270042e+01,2.607214481628959746e+00,1.860626077327889316e+00,1.134701171874999970e+00
2.738410592082778550e+01,2.581038566046252480e+00,1.847995346355948865e+00,1.133648437499999995e+00
2.794207343638704089e+01,1.607169099559544456e+00,1.834922039939063776e+00,1.132595703125000020e+00
2.850870609767261854e+01,1.671270896090618852e+00,1.810855340450662654e+00,1.131447265625000087e+00
2.908409678179534552e+01,1.708450832201196867e+00,1.785963287991916504e+00,1.130298828125000155e+00
2.966833891720211724e+01,1.632853547889207890e+00,1.757917212126545392e+00,1.129150390625000000e+00
3.026152648432088554e+01,1.570129615144983282e+00,1.720939577685533184e+00,1.127906250000000110e+00
3.086375401620326642e+01,1.429404242148722304e+00,1.681518581673928869e+00,1.126662109374999998e+00
3.147511659916478521e+01,1.318001583623545248e+00,1.635641138784898807e+00,1.125513671875000066e+00
3.209570987342276993e+01,1.374275622066747138e+00,1.569446308971972792e+00,1.124365234375000133e+00
3.272563003373191037e+01,1.359353534613140235e+00,1.504352466235796104e+00,1.123121093750000021e+00
3.336497383001753292e+01,1.134938462304877271e+00,1.440144959340517561e+00,1.121876953125000131e+00
3.401383856800656957e+01,1.152403801526542537e+00,1.374288625023146082e+00,1.120632812500000020e+00
3.467232210985625329e+01,1.129987594394346484e+00,1.305373708052671278e+00,1.119388671875000130e+00
3.534052287478058219e+01,1.115797583519157143e+00,1.237460441968128322e+00,1.118048828125000060e+00
3.601853983967455264e+01,1.124926536117786480e+00,1.212346032375531957e+00,1.116804687500000171e+00
3.670647253973614710e+01,1.095794001823567676e+00,1.184123756623043144e+00,1.115464843750000101e+00
3.740442106908616893e+01,1.030548480069878758e+00,1.153819881285378157e+00,1.114220703124999989e+00
3.811248608138586036e+01,1.006740151572846242e+00,1.127294366059108155e+00,1.112880859375000142e+00
3.883076879045240304e+01,9.469181516413276434e-01,1.103731557174191913e+00,1.111541015625000073e+00
3.955937097087223009e+01,9.695588464874689283e-01,1.087511724221212228e+00,1.110105468750000046e+00
4.029839495861224208e+01,1.003322890857119676e+00,1.076238672387044959e+00,1.108765625000000199e+00
4.104794365162891268e+01,1.038539854204523216e+00,1.060504068736586092e+00,1.107909648633575106e+00
4.180812051047528399e+01,1.022171391308040134e+00,1.045118076873205348e+00,1.107698828778583389e+00
4.257902955890590135e+01,1.019033446101764273e+00,1.040012287206766306e+00,1.107457891801450156e+00
4.336077538447969459e+01,1.029537678929828504e+00,1.034047304972911308e+00,1.107232013385387681e+00
4.415346313916078458e+01,1.022158553783372836e+00,1.026923375287535078e+00,1.107021193530396186e+00
4.495719853991730020e+01,1.011461699434905048e+00,1.020367551273182016e+00,1.106795315114333711e+00
4.577208786931815609e+01,1.022766697684995396e+00,1.014882774059736148e+00,1.106554378137200256e+00
4.659823797612786223e+01,1.028185010791910825e+00,1.011397232262701396e+00,1.106328499721137781e+00
4.743575627589930122e+01,1.056348084230183337e+00,1.010952050301674010e+00,1.106102621305075306e+00
4.828475075156461571e+01,1.058721391437703163e+00,1.011990222902269032e+00,1.105861684327942074e+00
4.914532995402405646e+01,1.012379738106195637e+00,1.017343923398676075e+00,1.105620747350808841e+00
5.001760300273296878e+01,1.005475721755380025e+00,1.020827876240538945e+00,1.105379810373675609e+00
5.090167958628681788e+01,1.017505299976774857e+00,1.021998765641056739e+00,1.105138873396542154e+00
5.179766996300431003e+01,1.015209210147884678e+00,1.021964790158745862e+00,1.104897936419408921e+00
5.270568496150863780e+01,9.661372116306925495e-01,1.023778728829194407e+00,1.104641940881204709e+00
5.362583598130682105e+01,9.650136311890382679e-01,1.027593375672966713e+00,1.104401003904071477e+00
5.455823499336720772e+01,9.987766602085330625e-01,1.029052697717852016e+00,1.104145008365867264e+00
5.550299454069511285e+01,1.015626540491766816e+00,1.030621484016298828e+00,1.103889012827663274e+00
5.646022773890660318e+01,1.020309294966245561e+00,1.032993427297439482e+00,1.103633017289459062e+00
5.743004827680049118e+01,1.030618121386533081e+00,1.035032466738032397e+00,1.103377021751255072e+00
5.841257041692848873e+01,1.070053263058694082e+00,1.036217599877549800e+00,1.103105967651980102e+00
